id,entidad,abreviatura
1,Aguascalientes ,AGS
2,Baja California ,BC
3,Baja California Sur ,BCS
4,Campeche ,CAMP
5,Coahuila ,COAH
6,Colima ,COL
7,Chiapas ,CHIS
8,Chihuahua ,CHIH
9,Ciudad de México ,CDMX
10,Durango ,DGO
11,Guanajuato ,GTO
12,Guerrero ,GRO
13,Hidalgo ,HGO
14,Jalisco ,JAL
15,Estado de México ,MEX
16,Michoacán ,MICH
17,Morelos ,MOR
18,Nayarit ,NAY
19,Nuevo León ,NL
20,Oaxaca ,OAX
21,Puebla ,PUE
22,Querétaro ,QRO
23,Quintana Roo ,QROO
24,San Luis Potosí ,SLP
25,Sinaloa ,SIN
26,Sonora ,SON
27,Tabasco ,TAB
28,Tamaulipas ,TAMPS
29,Tlaxcala ,TLAX
30,Veracruz ,VER
31,Yucatán ,YUC
32,Zacatecas ,ZAC
